Hidden Nodes	Visible Nodes	Connections	Error (CD)	Error (PSO)		Hidden Nodes	Visible Nodes	Connections	Iterations (CD)	Iterations (PSO)
5	3	23	0.13667	0.04		5	3	23	199	177	
5	6	41	0.38333	0.235		5	6	41	199	440	
5	9	59	0.22778	0.27556		5	9	59	199	387	
5	12	77	0.23833	0.30417		5	12	77	199	493	
5	15	95	0.228	0.348		5	15	95	155	409	
5	18	113	0.35222	0.35611		5	18	113	199	305	
5	21	131	0.33905	0.34667		5	21	131	199	515	
5	24	149	0.29333	0.35		5	24	149	68	715	
5	27	167	0.30704	0.35556		5	27	167	199	528	
5	30	185	0.372	0.39467		5	30	185	199	274	
5	33	203	0.34182	0.33485		5	33	203	45	749	
5	36	221	0.27972	0.37639		5	36	221	97	1179	
5	39	239	0.36103	0.36205		5	39	239	199	588	
5	42	257	0.38286	0.39405		5	42	257	199	628	
5	45	275	0.34578	0.412		5	45	275	49	389	
5	48	293	0.3525	0.37479		5	48	293	46	417	
5	51	311	0.29667	0.35765		5	51	311	43	744	
5	54	329	0.38889	0.37722		5	54	329	199	555	
5	57	347	0.31035	0.37702		5	57	347	61	916	
5	60	365	0.28217	0.38183		5	60	365	83	502	
5	63	383	0.30095	0.36349		5	63	383	92	736	
5	66	401	0.36227	0.33545		5	66	401	199	1111	
5	69	419	0.26884	0.31319		5	69	419	83	1116	
5	72	437	0.2425	0.3225		5	72	437	81	514	
5	75	455	0.374	0.3268		5	75	455	199	563	
15	3	63	0.02	0.01		15	3	63	29	14	
15	6	111	0.21	0.18		15	6	111	199	876	
15	9	159	0.21778	0.16667		15	9	159	199	510	
15	12	207	0.20833	0.225		15	12	207	199	677	
15	15	255	0.248	0.22933		15	15	255	68	731	
15	18	303	0.30833	0.255		15	18	303	199	617	
15	21	351	0.24476	0.28905		15	21	351	70	907	
15	24	399	0.38958	0.26333		15	24	399	199	497	
15	27	447	0.25593	0.28185		15	27	447	49	655	
15	30	495	0.324	0.33667		15	30	495	26	390	
15	33	543	0.34667	0.35182		15	33	543	46	530	
15	36	591	0.26583	0.3625		15	36	591	24	674	
15	39	639	0.28154	0.32846		15	39	639	66	621	
15	42	687	0.31119	0.36881		15	42	687	22	619	
15	45	735	0.34533	0.28778		15	45	735	22	606	
15	48	783	0.35146	0.34708		15	48	783	17	394	
15	51	831	0.29706	0.33667		15	51	831	34	962	
15	54	879	0.27315	0.35815		15	54	879	189	408	
15	57	927	0.30298	0.32175		15	57	927	14	606	
15	60	975	0.27517	0.33517		15	60	975	45	417	
15	63	1023	0.29905	0.31841		15	63	1023	48	567	
15	66	1071	0.25197	0.26758		15	66	1071	54	979	
15	69	1119	0.2687	0.29667		15	69	1119	67	693	
15	72	1167	0.24417	0.31264		15	72	1167	21	491	
15	75	1215	0.2444	0.3096		15	75	1215	33	1313	
25	3	103	0.06	0.01		25	3	103	53	11	
25	6	181	0.08333	0.125		25	6	181	95	269	
25	9	259	0.18667	0.11556		25	9	259	58	472	
25	12	337	0.2225	0.14333		25	12	337	74	450	
25	15	415	0.23267	0.15933		25	15	415	59	332	
25	18	493	0.28056	0.27278		25	18	493	80	673	
25	21	571	0.2419	0.25714		25	21	571	40	600	
25	24	649	0.31	0.25792		25	24	649	42	432	
25	27	727	0.26444	0.20741		25	27	727	31	949	
25	30	805	0.32	0.25733		25	30	805	48	574	
25	33	883	0.33273	0.34061		25	33	883	13	432	
25	36	961	0.27833	0.29528		25	36	961	28	659	
25	39	1039	0.28564	0.29641		25	39	1039	46	460	
25	42	1117	0.28738	0.2769		25	42	1117	41	950	
25	45	1195	0.346	0.33022		25	45	1195	10	280	
25	48	1273	0.35021	0.30979		25	48	1273	8	575	
25	51	1351	0.29451	0.30549		25	51	1351	27	476	
25	54	1429	0.27333	0.30296		25	54	1429	122	724	
25	57	1507	0.3086	0.30596		25	57	1507	32	635	
25	60	1585	0.275	0.32583		25	60	1585	15	471	
25	63	1663	0.28571	0.34556		25	63	1663	31	486	
25	66	1741	0.36561	0.33621		25	66	1741	199	417	
25	69	1819	0.26203	0.32899		25	69	1819	23	588	
25	72	1897	0.24375	0.27792		25	72	1897	34	1114	
25	75	1975	0.23333	0.28227		25	75	1975	183	1046	
